code_commune,nom_commune,num_bdv,code_circ,inscrits,votants,exprimes,participation,eu_left,eu_ctr,eu_lr,eu_rn
95018,Argenteuil,21,5,1083,487,478,44.97,48.12,12.97,6.28,27.41
95018,Argenteuil,22,5,1103,451,438,40.89,55.48,5.94,4.11,24.89
95018,Argenteuil,23,5,1189,580,573,48.78,49.74,9.77,5.24,30.02
95018,Argenteuil,24,5,1076,494,482,45.91,57.47,12.66,3.94,20.54
95018,Argenteuil,25,5,1061,514,504,48.44,54.56,9.13,5.16,27.18
95018,Argenteuil,26,5,1178,565,552,47.96,45.11,9.96,4.71,35.87
95018,Argenteuil,27,5,1135,557,545,49.07,41.1,13.39,7.52,32.29
95018,Argenteuil,28,5,1403,460,448,32.79,72.32,3.79,2.46,16.74
95018,Argenteuil,29,5,1135,394,383,34.71,72.32,6.79,2.35,12.79
95018,Argenteuil,30,5,981,344,327,35.07,70.34,3.36,1.83,16.82
95018,Argenteuil,31,5,1098,392,379,35.7,69.66,5.01,2.11,16.89
95018,Argenteuil,32,5,1178,467,454,39.64,72.69,1.54,1.76,18.72
95018,Argenteuil,33,5,1385,486,478,35.09,75.94,4.81,1.46,15.06
95018,Argenteuil,34,5,1122,479,469,42.69,55.22,13.65,2.77,20.9
95018,Argenteuil,35,5,1162,423,411,36.4,71.78,4.62,0.97,16.55
95018,Argenteuil,36,5,930,392,386,42.15,72.8,3.11,3.37,18.13
95018,Argenteuil,37,5,1138,462,448,40.6,57.14,10.49,4.46,21.65
95018,Argenteuil,38,5,1217,436,425,35.83,75.29,4.24,2.35,11.53
95018,Argenteuil,39,5,902,368,365,40.8,64.66,7.12,3.84,18.63
95018,Argenteuil,40,5,980,388,379,39.59,63.59,7.12,3.17,21.64
95018,Argenteuil,41,5,1430,497,488,34.76,70.08,3.89,2.46,19.47
95018,Argenteuil,42,5,1187,431,427,36.31,61.83,12.18,1.64,17.33
95018,Argenteuil,43,5,1084,466,461,42.99,55.97,9.76,3.69,22.99
95018,Argenteuil,44,5,1009,430,416,42.62,62.98,7.21,3.85,18.03
95018,Argenteuil,45,5,1398,542,535,38.77,65.05,7.85,2.62,19.25
95018,Argenteuil,46,5,1069,446,435,41.72,65.75,7.82,2.76,17.01
