code_commune,nom_commune,num_bdv,code_circ,inscrits,votants,exprimes,participation,pr_left,pr_macron,pr_pec,pr_lepen,pr_zem,pr_other
95018,Argenteuil,21,5,1061,868,851,81.81,33.49,26.2,17.51,18.1,0.0,4.7
95018,Argenteuil,22,5,1085,761,725,70.14,43.72,21.1,10.48,20.55,0.0,4.14
95018,Argenteuil,23,5,1171,930,913,79.42,31.87,27.16,15.77,18.62,0.0,6.57
95018,Argenteuil,24,5,1052,785,762,74.62,40.42,22.83,16.27,14.7,0.0,5.77
95018,Argenteuil,25,5,1053,829,809,78.73,33.13,25.09,19.04,16.56,0.0,6.18
95018,Argenteuil,26,5,1178,929,913,78.86,26.83,24.21,23.22,17.74,0.0,8.0
95018,Argenteuil,27,5,1181,970,954,82.13,26.1,26.73,22.85,16.88,0.0,7.44
95018,Argenteuil,28,5,1264,868,840,68.67,52.98,19.88,7.38,16.55,0.0,3.21
95018,Argenteuil,29,5,1165,763,742,65.49,56.47,23.18,6.06,10.24,0.0,4.04
95018,Argenteuil,30,5,914,648,620,70.9,54.19,22.1,9.35,10.65,0.0,3.71
95018,Argenteuil,31,5,931,643,623,69.07,50.08,24.08,8.03,14.45,0.0,3.37
95018,Argenteuil,32,5,1135,782,749,68.9,57.81,20.56,6.28,12.28,0.0,3.07
95018,Argenteuil,33,5,1261,860,824,68.2,59.59,22.45,5.46,8.37,0.0,4.13
95018,Argenteuil,34,5,1105,810,797,73.3,42.28,25.09,13.68,14.18,0.0,4.77
95018,Argenteuil,35,5,1089,758,741,69.61,55.74,18.62,8.64,12.55,0.0,4.45
95018,Argenteuil,36,5,920,665,643,72.28,53.97,20.06,9.8,12.91,0.0,3.27
95018,Argenteuil,37,5,1184,872,845,73.65,40.83,24.85,16.92,12.31,0.0,5.09
95018,Argenteuil,38,5,1203,807,777,67.08,49.42,26.0,8.88,10.94,0.0,4.76
95018,Argenteuil,39,5,881,659,645,74.8,44.96,22.33,10.39,15.04,0.0,7.29
95018,Argenteuil,40,5,918,644,629,70.15,40.7,29.09,8.59,15.9,0.0,5.72
95018,Argenteuil,41,5,1253,901,883,71.91,48.92,24.35,7.36,14.84,0.0,4.53
95018,Argenteuil,42,5,1132,808,786,71.38,48.73,24.55,9.92,13.1,0.0,3.69
95018,Argenteuil,43,5,1057,778,758,73.6,41.69,24.14,13.19,15.96,0.0,5.01
95018,Argenteuil,44,5,999,703,683,70.37,50.81,21.38,7.47,14.79,0.0,5.56
95018,Argenteuil,45,5,1220,881,858,72.21,43.94,28.67,7.69,14.8,0.0,4.9
95018,Argenteuil,46,5,1002,753,732,75.15,46.86,23.63,8.88,14.48,0.0,6.15
95018,Argenteuil,47,5,1217,879,865,72.23,48.67,22.89,9.25,13.99,0.0,5.2
95018,Argenteuil,48,5,1303,971,950,74.52,38.84,28.42,13.16,13.68,0.0,5.89
95018,Argenteuil,49,5,1270,921,899,72.52,42.49,24.25,12.9,12.79,0.0,7.56
95018,Argenteuil,50,5,1120,855,823,76.34,45.57,25.76,11.42,12.27,0.0,4.98
95019,Arnouville,1,8,1030,763,746,74.08,27.35,21.98,22.25,21.05,0.0,7.37
95019,Arnouville,2,8,920,699,690,75.98,32.32,20.43,20.0,21.74,0.0,5.51
95019,Arnouville,3,8,1257,996,976,79.24,26.23,20.29,21.0,24.59,0.0,7.89
95019,Arnouville,4,8,1084,785,766,72.42,34.86,21.8,17.62,19.71,0.0,6.01
95019,Arnouville,5,8,1051,779,762,74.12,28.87,18.9,23.49,21.26,0.0,7.48
95019,Arnouville,6,8,1155,872,848,75.5,29.25,23.23,24.29,18.04,0.0,5.19
95019,Arnouville,7,8,1239,985,961,79.5,30.8,19.88,23.83,18.73,0.0,6.76
95023,Arronville,1,1,502,432,419,86.06,17.42,23.63,25.54,24.58,0.0,8.83
95024,Arthies,1,1,226,176,172,77.88,25.0,18.6,25.0,25.58,0.0,5.81
95026,Asnières-sur-Oise,1,2,772,631,622,81.74,27.01,22.51,18.49,22.67,0.0,9.32
95026,Asnières-sur-Oise,2,2,646,554,543,85.76,26.52,18.23,21.18,23.2,0.0,10.87
95026,Asnières-sur-Oise,3,2,540,455,445,84.26,20.67,19.78,13.71,35.73,0.0,10.11
95028,Attainville,1,7,1274,1017,1001,79.83,22.68,25.07,15.88,27.47,0.0,8.89
95039,Auvers-sur-Oise,1,1,1105,924,905,83.62,29.39,27.29,19.34,17.79,0.0,6.19
95039,Auvers-sur-Oise,2,1,1100,895,885,81.36,32.32,27.23,15.03,19.21,0.0,6.21
95039,Auvers-sur-Oise,3,1,914,750,736,82.06,26.63,27.31,23.91,15.76,0.0,6.39
95039,Auvers-sur-Oise,4,1,986,799,779,81.03,29.65,23.49,19.64,19.9,0.0,7.32
95039,Auvers-sur-Oise,5,1,674,551,543,81.75,28.55,32.78,18.78,14.36,0.0,5.52
95039,Auvers-sur-Oise,6,1,613,515,505,84.01,28.51,27.92,18.61,19.8,0.0,5.15
95040,Avernes,1,1,618,545,535,88.19,18.32,26.36,25.05,23.74,0.0,6.54
95042,Baillet-en-France,1,2,1509,1277,1247,84.63,24.54,23.58,19.17,23.74,0.0,8.98
95046,Banthelu,1,1,94,83,82,88.3,10.98,20.73,31.71,28.05,0.0,8.54
95051,Beauchamp,1,3,681,564,551,82.82,21.23,24.68,29.95,16.88,0.0,7.26
95051,Beauchamp,2,3,760,643,626,84.61,25.88,25.56,23.64,18.21,0.0,6.71
95051,Beauchamp,3,3,839,709,694,84.51,23.05,27.81,25.36,16.28,0.0,7.49
95051,Beauchamp,4,3,651,536,525,82.33,20.38,23.24,31.24,17.14,0.0,8.0
95051,Beauchamp,5,3,831,655,631,78.82,29.16,19.18,25.04,20.6,0.0,6.02
95051,Beauchamp,6,3,794,654,643,82.37,26.28,25.51,21.93,19.28,0.0,7.0
95051,Beauchamp,7,3,819,691,680,84.37,19.41,30.0,23.38,16.91,0.0,10.29
95051,Beauchamp,8,3,773,651,630,84.22,18.57,30.32,22.54,18.57,0.0,10.0
