key,left_leg24,centre_leg24,right_leg24,far_right_leg24,left_leg22,centre_leg22,right_leg22,far_right_leg22,left_leg17,centre_leg17,right_leg17,far_right_leg17,left_pres22,centre_pres22,right_pres22,far_right_pres22,left_euro24,centre_euro24,right_euro24,far_right_euro24,winner_t2_24,proj_left,proj_rn,margin_left,scenario
1405,25.2,24.59,16.17,34.04,5.98,27.85,18.0,24.11,23.26,38.95,23.15,14.1,17.14,0.0,0.0,0.0,30.69,19.78,7.62,35.57,CENTRE,44.5,43.9,0.6,rn_resistant
1406,24.48,36.58,0.0,38.94,4.26,35.82,7.23,27.02,22.08,49.19,12.63,15.16,18.45,0.0,0.0,0.0,30.3,17.17,6.3,39.27,CENTRE,46.4,44.4,2.0,bascule_possible
1501,23.46,7.66,37.66,31.22,0.0,22.25,43.63,14.28,19.27,36.65,37.19,6.47,15.99,0.0,0.0,0.0,28.79,14.67,11.09,37.75,RIGHT,38.6,46.7,-8.1,bastion_rn
1502,14.45,8.36,43.56,33.63,0.03,17.46,48.39,16.77,14.43,23.6,53.03,7.21,14.51,0.0,0.0,0.0,22.41,12.6,14.5,41.16,RIGHT,31.7,51.4,-19.7,bastion_rn
1601,34.27,30.3,4.02,31.4,15.56,30.45,5.24,20.33,35.05,38.0,15.43,9.37,24.77,0.0,0.0,0.0,39.87,14.98,5.79,34.18,LEFT,53.6,37.5,16.1,bastion_gauche
1602,22.68,27.39,8.76,41.17,8.63,28.77,12.24,28.7,27.52,37.79,16.21,14.25,17.04,0.0,0.0,0.0,26.49,15.65,7.22,43.05,CENTRE,41.6,48.6,-7.0,bastion_rn
1603,27.27,28.31,0.0,44.42,20.65,21.14,4.21,27.09,40.6,44.31,0.0,14.58,18.54,0.0,0.0,0.0,27.98,13.85,5.76,44.49,FAR_RIGHT,44.3,48.7,-4.4,rn_resistant
1701,75.85,0.0,0.0,23.92,37.54,24.82,0.23,13.38,54.29,26.99,9.83,7.03,22.79,0.0,0.0,0.0,41.29,19.59,7.55,26.77,LEFT,75.8,23.9,51.9,bastion_gauche
1702,27.9,25.33,12.36,34.41,5.41,28.09,12.31,24.91,24.6,38.48,19.38,13.79,20.32,0.0,0.0,0.0,34.43,15.63,6.53,37.18,LEFT,46.6,42.9,3.7,bascule_possible
1703,31.27,27.88,0.0,40.85,14.47,29.19,6.86,27.61,36.45,30.95,15.91,14.25,19.34,0.0,0.0,0.0,30.08,14.34,6.21,41.95,LEFT,48.0,45.0,3.0,bascule_possible
